num_bureau;choix;vote
1;abstention;425
1;Alexis CORBIERE;95
1;blanc;5
1;Christel KEISER;4
1;Claudine ANTONINI;0
1;Gaylord LE CHEQUER;58
1;Genevieve REIMERINGER;3
1;Halima MENHOUDJ;105
1;Hugues LEFORESTIER;7
1;Jean-Pierre BRARD;26
1;Jerome MICUCCI;0
1;Jimmy PARAT;0
1;Majid LAGNAOUI;1
1;Manon LAPORTE;39
1;Marie-Ange DONADIEU;13
1;Nadia BELAALA;1
1;Nathalie LABBE;0
1;nul;0
1;Pierre SERNE;50
1;Razzy HAMMADI;58
1;Sebastien JOLIVET;11
1;Sylvette MINNAERT;4
1;Thierry PORRO;5
1;Vincent GLENN;1
2;abstention;569
2;Alexis CORBIERE;113
2;blanc;7
2;Christel KEISER;2
2;Claudine ANTONINI;2
2;Gaylord LE CHEQUER;74
2;Genevieve REIMERINGER;3
2;Halima MENHOUDJ;128
2;Hugues LEFORESTIER;7
2;Jean-Pierre BRARD;28
2;Jerome MICUCCI;1
2;Jimmy PARAT;7
2;Majid LAGNAOUI;3
2;Manon LAPORTE;27
2;Marie-Ange DONADIEU;3
2;Nadia BELAALA;2
2;Nathalie LABBE;0
2;nul;2
2;Pierre SERNE;50
2;Razzy HAMMADI;56
2;Sebastien JOLIVET;10
2;Sylvette MINNAERT;2
2;Thierry PORRO;6
2;Vincent GLENN;2
3;abstention;497
3;Alexis CORBIERE;129
3;blanc;8
3;Christel KEISER;0
3;Claudine ANTONINI;6
3;Gaylord LE CHEQUER;55
3;Genevieve REIMERINGER;4
3;Halima MENHOUDJ;133
3;Hugues LEFORESTIER;4
3;Jean-Pierre BRARD;21
3;Jerome MICUCCI;2
3;Jimmy PARAT;0
3;Majid LAGNAOUI;1
3;Manon LAPORTE;29
3;Marie-Ange DONADIEU;4
3;Nadia BELAALA;2
3;Nathalie LABBE;0
3;nul;1
3;Pierre SERNE;37
3;Razzy HAMMADI;60
3;Sebastien JOLIVET;18
3;Sylvette MINNAERT;3
3;Thierry PORRO;3
3;Vincent GLENN;7
4;abstention;512
