num_bureau;choix;vote
1;abstention;470
1;Alexis CORBIERE;238
1;blanc;31
1;Halima MENHOUDJ;162
1;nul;10
2;abstention;647
2;Alexis CORBIERE;242
2;blanc;25
2;Halima MENHOUDJ;182
2;nul;8
3;abstention;562
3;Alexis CORBIERE;243
3;blanc;19
3;Halima MENHOUDJ;196
3;nul;4
4;abstention;574
4;Alexis CORBIERE;271
4;blanc;21
4;Halima MENHOUDJ;139
4;nul;8
5;abstention;675
5;Alexis CORBIERE;211
5;blanc;20
5;Halima MENHOUDJ;116
5;nul;5
6;abstention;568
6;Alexis CORBIERE;241
6;blanc;32
6;Halima MENHOUDJ;197
6;nul;12
7;abstention;491
7;Alexis CORBIERE;231
7;blanc;23
7;Halima MENHOUDJ;161
7;nul;8
8;abstention;323
8;Alexis CORBIERE;202
8;blanc;14
8;Halima MENHOUDJ;117
8;nul;3
9;abstention;497
9;Alexis CORBIERE;259
9;blanc;12
9;Halima MENHOUDJ;186
9;nul;2
10;abstention;560
10;Alexis CORBIERE;282
10;blanc;12
10;Halima MENHOUDJ;221
10;nul;4
11;abstention;557
11;Alexis CORBIERE;272
11;blanc;19
11;Halima MENHOUDJ;221
11;nul;10
12;abstention;494
12;Alexis CORBIERE;238
12;blanc;29
12;Halima MENHOUDJ;233
12;nul;5
13;abstention;515
13;Alexis CORBIERE;231
13;blanc;22
13;Halima MENHOUDJ;232
13;nul;13
14;abstention;469
14;Alexis CORBIERE;222
14;blanc;29
14;Halima MENHOUDJ;235
14;nul;16
15;abstention;533
15;Alexis CORBIERE;286
15;blanc;33
15;Halima MENHOUDJ;255
15;nul;6
16;abstention;516
16;Alexis CORBIERE;239
16;blanc;29
16;Halima MENHOUDJ;230
16;nul;12
17;abstention;785
17;Alexis CORBIERE;242
17;blanc;21
17;Halima MENHOUDJ;153
17;nul;8
18;abstention;516
18;Alexis CORBIERE;255
18;blanc;19
18;Halima MENHOUDJ;140
18;nul;12
19;abstention;493
19;Alexis CORBIERE;271
19;blanc;20
19;Halima MENHOUDJ;223
19;nul;6
20;abstention;521
20;Alexis CORBIERE;204
20;blanc;9
20;Halima MENHOUDJ;113
20;nul;2
21;abstention;595
21;Alexis CORBIERE;193
21;blanc;18
21;Halima MENHOUDJ;167
21;nul;6
22;abstention;889
22;Alexis CORBIERE;193
22;blanc;14
22;Halima MENHOUDJ;156
22;nul;6
23;abstention;781
23;Alexis CORBIERE;194
23;blanc;26
23;Halima MENHOUDJ;153
23;nul;3
24;abstention;694
24;Alexis CORBIERE;198
24;blanc;25
24;Halima MENHOUDJ;122
24;nul;4
25;abstention;714
25;Alexis CORBIERE;197
25;blanc;20
25;Halima MENHOUDJ;121
25;nul;5
26;abstention;725
26;Alexis CORBIERE;146
26;blanc;10
26;Halima MENHOUDJ;68
26;nul;6
27;abstention;654
27;Alexis CORBIERE;208
27;blanc;18
27;Halima MENHOUDJ;153
27;nul;13
28;abstention;782
28;Alexis CORBIERE;134
28;blanc;19
28;Halima MENHOUDJ;96
28;nul;12
29;abstention;696
29;Alexis CORBIERE;193
29;blanc;20
29;Halima MENHOUDJ;144
29;nul;3
30;abstention;748
30;Alexis CORBIERE;186
30;blanc;13
30;Halima MENHOUDJ;168
30;nul;9
31;abstention;452
31;Alexis CORBIERE;102
31;blanc;6
31;Halima MENHOUDJ;73
31;nul;1
32;abstention;528
32;Alexis CORBIERE;270
32;blanc;21
32;Halima MENHOUDJ;153
32;nul;9
33;abstention;664
33;Alexis CORBIERE;286
33;blanc;22
33;Halima MENHOUDJ;159
33;nul;13
34;abstention;531
34;Alexis CORBIERE;194
34;blanc;20
34;Halima MENHOUDJ;156
34;nul;7
35;abstention;610
35;Alexis CORBIERE;246
35;blanc;13
35;Halima MENHOUDJ;186
35;nul;9
36;abstention;669
36;Alexis CORBIERE;133
36;blanc;15
36;Halima MENHOUDJ;106
36;nul;4
37;abstention;462
37;Alexis CORBIERE;242
37;blanc;24
37;Halima MENHOUDJ;145
37;nul;7
38;abstention;670
38;Alexis CORBIERE;240
38;blanc;13
38;Halima MENHOUDJ;118
38;nul;7
39;abstention;627
39;Alexis CORBIERE;350
39;blanc;26
39;Halima MENHOUDJ;175
39;nul;9
40;abstention;380
40;Alexis CORBIERE;252
40;blanc;25
40;Halima MENHOUDJ;122
40;nul;9
41;abstention;641
41;Alexis CORBIERE;226
41;blanc;16
41;Halima MENHOUDJ;181
41;nul;9
42;abstention;657
42;Alexis CORBIERE;199
42;blanc;13
42;Halima MENHOUDJ;170
42;nul;3
43;abstention;763
43;Alexis CORBIERE;198
43;blanc;14
43;Halima MENHOUDJ;102
43;nul;9
44;abstention;545
44;Alexis CORBIERE;270
44;blanc;20
44;Halima MENHOUDJ;187
44;nul;11
45;abstention;451
45;Alexis CORBIERE;238
45;blanc;23
45;Halima MENHOUDJ;180
45;nul;10
46;abstention;495
46;Alexis CORBIERE;232
46;blanc;23
46;Halima MENHOUDJ;193
46;nul;1
47;abstention;549
47;Alexis CORBIERE;247
47;blanc;24
47;Halima MENHOUDJ;202
47;nul;16
48;abstention;706
48;Alexis CORBIERE;201
48;blanc;17
48;Halima MENHOUDJ;111
48;nul;14
49;abstention;674
49;Alexis CORBIERE;179
49;blanc;17
49;Halima MENHOUDJ;181
49;nul;6
50;abstention;613
50;Alexis CORBIERE;161
50;blanc;15
50;Halima MENHOUDJ;101
50;nul;2
51;abstention;679
51;Alexis CORBIERE;224
51;blanc;23
51;Halima MENHOUDJ;132
51;nul;13
52;abstention;690
52;Alexis CORBIERE;221
52;blanc;18
52;Halima MENHOUDJ;145
52;nul;10
53;abstention;597
53;Alexis CORBIERE;287
53;blanc;16
53;Halima MENHOUDJ;212
53;nul;17
54;abstention;746
54;Alexis CORBIERE;138
54;blanc;4
54;Halima MENHOUDJ;96
54;nul;6
55;abstention;549
55;Alexis CORBIERE;287
55;blanc;29
55;Halima MENHOUDJ;216
55;nul;11
56;abstention;457
56;Alexis CORBIERE;272
56;blanc;18
56;Halima MENHOUDJ;215
56;nul;7
57;abstention;453
57;Alexis CORBIERE;262
57;blanc;19
57;Halima MENHOUDJ;200
57;nul;6
