Bureau;Inscrits;Abstention;Votants;Blancs;Nuls;Exprimes;Emmanuel MACRON;Marine LE PEN
1;906;250;656;48;11;597;531;66
2;1103;328;775;59;15;701;642;59
3;1023;289;734;51;16;667;612;55
4;1018;315;703;39;16;648;588;60
5;1025;347;678;56;14;608;517;91
6;1051;290;761;49;21;691;630;61
7;914;246;668;32;10;626;577;49
8;655;132;523;31;11;481;461;20
9;956;243;713;43;13;657;605;52
10;1080;281;799;54;10;735;687;48
11;1077;277;800;48;18;734;677;57
12;1001;210;791;44;13;734;687;47
13;1014;277;737;44;11;682;630;52
14;968;223;745;48;21;676;623;53
15;1112;250;862;58;10;794;729;65
16;1025;257;768;49;15;704;646;58
17;1209;415;794;56;21;717;607;110
18;940;275;665;42;22;601;546;55
19;1011;224;787;48;20;719;664;55
20;847;273;574;38;7;529;446;83
21;978;305;673;45;14;614;521;93
22;1259;441;818;56;18;744;626;118
23;1157;429;728;42;21;665;561;104
24;1041;372;669;50;16;603;467;136
25;1054;367;687;43;14;630;485;145
26;956;441;515;58;17;440;311;129
27;1042;334;708;68;25;615;465;150
28;1045;424;621;48;15;558;425;133
29;1055;410;645;50;17;578;444;134
30;1121;385;736;48;16;672;560;112
31;634;257;377;18;8;351;273;78
32;979;264;715;72;12;631;573;58
33;1144;306;838;62;21;755;673;82
34;913;243;670;39;12;619;558;61
35;1065;334;731;63;19;649;552;97
36;926;339;587;44;13;530;421;109
37;879;251;628;46;11;571;513;58
38;1047;371;676;64;19;593;493;100
39;1188;335;853;51;15;787;682;105
40;786;206;580;39;14;527;481;46
41;1071;333;738;57;18;663;557;106
42;1043;356;687;53;12;622;533;89
43;1085;422;663;53;13;597;502;95
44;1032;258;774;69;18;687;595;92
45;902;226;676;58;22;596;541;55
46;947;232;715;55;9;651;586;65
47;1035;302;733;75;20;638;538;100
48;1050;406;644;44;15;585;478;107
49;1058;324;734;49;15;670;546;124
50;894;317;577;41;15;521;412;109
51;1069;362;707;63;22;622;505;117
52;1084;364;720;75;17;628;504;124
53;1126;315;811;45;19;747;681;66
54;988;379;609;36;17;556;441;115
55;1091;240;851;76;10;765;705;60
56;969;220;749;43;16;690;644;46
57;942;206;736;47;11;678;646;32
